Novak Djokovic;ATP Masters 1000 Madrid;Quarter-Finals;Marin Cilic;11;W;(W/O)
Novak Djokovic;ATP Masters 1000 Madrid;Round of 16;Jeremy Chardy;47;W;61 762
Novak Djokovic;ATP Masters 1000 Madrid;Round of 32;Taylor Fritz;57;W;64 62
Novak Djokovic;ATP Masters 1000 Madrid;Round of 64;Bye;;;
Novak Djokovic;ATP Masters 1000 Monte Carlo;Quarter-Finals;Daniil Medvedev;14;L;36 64 26
Novak Djokovic;ATP Masters 1000 Monte Carlo;Round of 16;Taylor Fritz;65;W;63 60
Novak Djokovic;ATP Masters 1000 Monte Carlo;Round of 32;Philipp Kohlschreiber;40;W;63 46 64
Novak Djokovic;ATP Masters 1000 Monte Carlo;Round of 64;Bye;;;
Novak Djokovic;ATP Masters 1000 Miami;Round of 16;Roberto Bautista Agut;25;L;61 57 36
Novak Djokovic;ATP Masters 1000 Miami;Round of 32;Federico Delbonis;83;W;75 46 61
Novak Djokovic;ATP Masters 1000 Miami;Round of 64;Bernard Tomic;81;W;762 62
Novak Djokovic;ATP Masters 1000 Miami;Round of 128;Bye;;;
Novak Djokovic;ATP Masters 1000 Indian Wells;Round of 32;Philipp Kohlschreiber;39;L;46 46
Novak Djokovic;ATP Masters 1000 Indian Wells;Round of 64;Bjorn Fratangelo;128;W;765 62
Novak Djokovic;ATP Masters 1000 Indian Wells;Round of 128;Bye;;;
Novak Djokovic;Australian Open;Finals;Rafael Nadal;2;W;63 62 63
Novak Djokovic;Australian Open;Semi-Finals;Lucas Pouille;31;W;60 62 62
Novak Djokovic;Australian Open;Quarter-Finals;Kei Nishikori;9;W;61 41 (RET)
Novak Djokovic;Australian Open;Round of 16;Daniil Medvedev;19;W;64 675 62 63
Novak Djokovic;Australian Open;Round of 32;Denis Shapovalov;27;W;63 64 46 60
Novak Djokovic;Australian Open;Round of 64;Jo-Wilfried Tsonga;177;W;63 75 64
Novak Djokovic;Australian Open;Round of 128;Mitchell Krueger;230;W;63 62 62
Novak Djokovic;Doha;Semi-Finals;Roberto Bautista Agut;24;L;63 676 46
Novak Djokovic;Doha;Quarter-Finals;Nikoloz Basilashvili;21;W;46 63 64
Novak Djokovic;Doha;Round of 16;Marton Fucsovics;36;W;46 64 61
Novak Djokovic;Doha;Round of 32;Damir Dzumhur;47;W;61 62
Novak Djokovic;Nitto ATP Finals;Finals;Alexander Zverev;5;L;46 36
Novak Djokovic;Nitto ATP Finals;Semi-Finals;Kevin Anderson;6;W;62 62
Novak Djokovic;Nitto ATP Finals;Round Robin;Marin Cilic;7;W;767 62
Novak Djokovic;Nitto ATP Finals;Round Robin;Alexander Zverev;5;W;64 61
Novak Djokovic;Nitto ATP Finals;Round Robin;John Isner;10;W;64 63
Novak Djokovic;ATP Masters 1000 Paris;Finals;Karen Khachanov;18;L;57 46
Novak Djokovic;ATP Masters 1000 Paris;Semi-Finals;Roger Federer;3;W;766 57 763
Novak Djokovic;ATP Masters 1000 Paris;Quarter-Finals;Marin Cilic;7;W;46 62 63
Novak Djokovic;ATP Masters 1000 Paris;Round of 16;Damir Dzumhur;52;W;61 21 (RET)
Novak Djokovic;ATP Masters 1000 Paris;Round of 32;Joao Sousa;48;W;75 61
Novak Djokovic;ATP Masters 1000 Paris;Round of 64;Bye;;;
Novak Djokovic;ATP Masters 1000 Shanghai;Finals;Borna Coric;19;W;63 64
Novak Djokovic;ATP Masters 1000 Shanghai;Semi-Finals;Alexander Zverev;5;W;62 61
Novak Djokovic;ATP Masters 1000 Shanghai;Quarter-Finals;Kevin Anderson;8;W;761 63
Novak Djokovic;ATP Masters 1000 Shanghai;Round of 16;Marco Cecchinato;21;W;64 60
Novak Djokovic;ATP Masters 1000 Shanghai;Round of 32;Jeremy Chardy;41;W;63 75
Novak Djokovic;ATP Masters 1000 Shanghai;Round of 64;Bye;;;
Novak Djokovic;Laver Cup;Round Robin;Kevin Anderson;9;L;675 75 016
Novak Djokovic;US Open;Finals;Juan Martin del Potro;3;W;63 764 63
Novak Djokovic;US Open;Semi-Finals;Kei Nishikori;19;W;63 64 62
Novak Djokovic;US Open;Quarter-Finals;John Millman;55;W;63 64 64
Novak Djokovic;US Open;Round of 16;Joao Sousa;68;W;63 64 63
Novak Djokovic;US Open;Round of 32;Richard Gasquet;25;W;62 63 63
Novak Djokovic;US Open;Round of 64;Tennys Sandgren;61;W;61 63 672 62
Novak Djokovic;US Open;Round of 128;Marton Fucsovics;41;W;63 36 64 60
Novak Djokovic;ATP Masters 1000 Cincinnati;Finals;Roger Federer;2;W;64 64
Novak Djokovic;ATP Masters 1000 Cincinnati;Semi-Finals;Marin Cilic;7;W;64 36 63
Novak Djokovic;ATP Masters 1000 Cincinnati;Quarter-Finals;Milos Raonic;29;W;75 46 63
Novak Djokovic;ATP Masters 1000 Cincinnati;Round of 16;Grigor Dimitrov;5;W;26 63 64
Novak Djokovic;ATP Masters 1000 Cincinnati;Round of 32;Adrian Mannarino;28;W;46 62 61
Novak Djokovic;ATP Masters 1000 Cincinnati;Round of 64;Steve Johnson;33;W;64 764
Novak Djokovic;ATP Masters 1000 Canada;Round of 16;Stefanos Tsitsipas;27;L;36 765 36
Novak Djokovic;ATP Masters 1000 Canada;Round of 32;Peter Polansky;121;W;63 64
Novak Djokovic;ATP Masters 1000 Canada;Round of 64;Mirza Basic;84;W;63 763
Novak Djokovic;Wimbledon;Finals;Kevin Anderson;8;W;62 62 763
Novak Djokovic;Wimbledon;Semi-Finals;Rafael Nadal;1;W;64 36 769 36 10-8
Novak Djokovic;Wimbledon;Quarter-Finals;Kei Nishikori;28;W;63 36 62 62
Novak Djokovic;Wimbledon;Round of 16;Karen Khachanov;40;W;64 62 62
Novak Djokovic;Wimbledon;Round of 32;Kyle Edmund;17;W;46 63 62 64
Novak Djokovic;Wimbledon;Round of 64;Horacio Zeballos;126;W;61 62 63
Novak Djokovic;Wimbledon;Round of 128;Tennys Sandgren;57;W;63 61 62
Novak Djokovic;London / Queen's Club;Finals;Marin Cilic;6;L;75 674 36
Novak Djokovic;London / Queen's Club;Semi-Finals;Jeremy Chardy;61;W;765 64
Novak Djokovic;London / Queen's Club;Quarter-Finals;Adrian Mannarino;26;W;75 61
Novak Djokovic;London / Queen's Club;Round of 16;Grigor Dimitrov;5;W;64 61
Novak Djokovic;London / Queen's Club;Round of 32;John Millman;63;W;62 61
Novak Djokovic;Roland Garros;Quarter-Finals;Marco Cecchinato;72;L;36 674 61 6711
Novak Djokovic;Roland Garros;Round of 16;Fernando Verdasco;35;W;63 64 62
Novak Djokovic;Roland Garros;Round of 32;Roberto Bautista Agut;13;W;64 676 764 62
Novak Djokovic;Roland Garros;Round of 64;Jaume Munar;155;W;761 64 64
Novak Djokovic;Roland Garros;Round of 128;Rogerio Dutra Silva;134;W;63 64 64
Novak Djokovic;ATP Masters 1000 Rome;Semi-Finals;Rafael Nadal;2;L;674 36
Novak Djokovic;ATP Masters 1000 Rome;Quarter-Finals;Kei Nishikori;24;W;26 61 63
Novak Djokovic;ATP Masters 1000 Rome;Round of 16;Albert Ramos-Vinolas;41;W;61 75
Novak Djokovic;ATP Masters 1000 Rome;Round of 32;Nikoloz Basilashvili;74;W;64 62
Novak Djokovic;ATP Masters 1000 Rome;Round of 64;Alexandr Dolgopolov;54;W;61 63
Novak Djokovic;ATP Masters 1000 Madrid;Round of 32;Kyle Edmund;22;L;36 62 36
Novak Djokovic;ATP Masters 1000 Madrid;Round of 64;Kei Nishikori;20;W;75 64
Novak Djokovic;Barcelona;Round of 32;Martin Klizan;140;L;26 61 36
Novak Djokovic;Barcelona;Round of 64;Bye;;;
Novak Djokovic;ATP Masters 1000 Monte Carlo;Round of 16;Dominic Thiem;7;L;762 26 36
Novak Djokovic;ATP Masters 1000 Monte Carlo;Round of 32;Borna Coric;39;W;762 75
Novak Djokovic;ATP Masters 1000 Monte Carlo;Round of 64;Dusan Lajovic;93;W;60 61
Novak Djokovic;ATP Masters 1000 Miami;Round of 64;Benoit Paire;47;L;36 46
Novak Djokovic;ATP Masters 1000 Miami;Round of 128;Bye;;;
Novak Djokovic;ATP Masters 1000 Indian Wells;Round of 64;Taro Daniel;109;L;673 64 16
Novak Djokovic;ATP Masters 1000 Indian Wells;Round of 128;Bye;;;
Novak Djokovic;Australian Open;Round of 16;Hyeon Chung;58;L;674 57 673
Novak Djokovic;Australian Open;Round of 32;Albert Ramos-Vinolas;22;W;62 63 63
Novak Djokovic;Australian Open;Round of 64;Gael Monfils;39;W;46 63 61 63
Novak Djokovic;Australian Open;Round of 128;Donald Young;63;W;61 62 64
Novak Djokovic;Wimbledon;Quarter-Finals;Tomas Berdych;15;L;672 02 (RET)
Novak Djokovic;Wimbledon;Round of 16;Adrian Mannarino;51;W;62 765 64
